*$$ SDRPT007   03012020 VR    18:10:47
  000380 SNAM000380                              98000                                             CP
  000398 SNAM000398                              98000                                             CP
  000406 SNAM000406                              98000                                             CP
  000414 SNAM000414                              98000                                             CP
  000422 SNAM000422                              98000                                             CP
  000430 SNAM000430                              98000                                             CP
  000448 SNAM000448  I                           98000                                             CP
  000455 SNAM000455                              98000                                             CP
  000463 SNAM000463                              98000                                             CP
  000471 SNAM000471                              98000                                             CP
  000489 SNAM000489                              98000                                             CP
  000497 SNAM000497                              98000                                             CP
  000505 SNAM000505                              98000                                             CP
  000513 SNAM000513                              98000                                             CP
  000521 SNAM000521                              98000                                             CP
  000539 SNAM000539                              98000                                             CP
  000547 SNAM000547                              98000                                             CP
  000554 SNAM000554                              98000                                             CP
1 REFERENCE: SDPGM002                                                                        OCCUSXPD FILE                          RUN DATE:11/08/22  TIME:12:40:14  MIDAS DATE: 3JAN20  PAGE:     2
0 Cust   Short      Cust Cust   Pri       Sec     Pri     Sec     Ter   MAS MAS                  Pri ID   Pri ID        Sec ID      Sec ID   Sec ID     Sec ID     Reg Bloomberg Equity
  Number Name       Type Segm Ctry Exp Ctry Exp Ind Cde Ind Cde Ind Cde Sts Date                  Type  Expiry Date     Number       Type  Issue Date Expiry Date  FI  Ticker
  000562 SNAM000562                              98000                                             CP
  000570 SNAM000570                              98000                                             CP
  000588 SNAM000588  I    F                      98000                                             CP
  000596 SNAM000596                              98000                                             CP
  000604 SNAM000604                              98000                                             CP
  000612 SNAM000612                              98000                                             CP
  000620 SNAM000620                              98000                                             CP
  000638 SNAM000638                              98000                                             CP
  000646 SNAM000646                              98000                                             CP
  000653 SNAM000653                              98000                                             CP
  000661 SNAM000661                              98000                                             CP
  000679 SNAM000679                              98000                                             CP
  000687 SNAM000687                              98000                                             CP
  000695 SNAM000695                              98000                                             CP
  000703 SNAM000703                              98000                                             CP
  000711 SNAM000711                              98000                                             CP
  000729 SNAM000729                              98000                                             CP
  000737 SNAM000737                              98000                                             CP
  000745 SNAM000745                              98000                                             CP
  000752 SNAM000752                              98000                                             CP
  000760 SNAM000760                              98000                                             CP
  000778 SNAM000778                              98000                                             CP
  000786 SNAM000786                              98000                                             CP
  000794 SNAM000794                              98000                                             CP
  000802 SNAM000802                              98000                                             CP
  000810 SNAM000810                              98000                                             CP
  000828 SNAM000828                              98000                                             CP
  000836 SNAM000836                              98000                                             CP
  000844 SNAM000844                              98000                                             CP
  000851 SNAM000851                              98000                                             CP
  000869 SNAM000869                              98000                                             CP
  000877 SNAM000877                              98000                                             CP
  000885 SNAM000885                              98000                                             CP
  000893 SNAM000893                              98000                                             CP
  000901 SNAM000901                              98000                                             CP
  000919 SNAM000919                              98000                                             CP
  000927 SNAM000927                              98000                                             CP
  000935 SNAM000935                              98000                                             CP
  000943 SNAM000943                              98000                                             CP
  000950 SNAM000950  I                           98000                                             CP
  000968 SNAM000968                              98000                                             CP
  000976 SNAM000976  I                           98000                                             CP
  000984 SNAM000984                              98000                                             CP
  000992 SNAM000992                              98000                                             CP
  001008 SNAM001008                              98000                                             CP
  001016 SNAM001016                              98000                                             CP
  001024 SNAM001024                              98000                                             CP
  001032 SNAM001032                              98000                                             CP
  001040 SNAM001040                              98000                                             CP
  001057 SNAM001057                              98000                                             CP
  001065 SNAM001065                              98000                                             CP
  001073 SNAM001073                              98000                                             CP
  001081 SNAM001081                              98000                                             CP
  001099 SNAM001099                              98000                                             CP
  001107 SNAM001107                              98000                                             CP
  001115 SNAM001115                              98000                                             CP
1 REFERENCE: SDPGM002                                                                        OCCUSXPD FILE                          RUN DATE:11/08/22  TIME:12:40:14  MIDAS DATE: 3JAN20  PAGE:     3
0 Cust   Short      Cust Cust   Pri       Sec     Pri     Sec     Ter   MAS MAS                  Pri ID   Pri ID        Sec ID      Sec ID   Sec ID     Sec ID     Reg Bloomberg Equity
  Number Name       Type Segm Ctry Exp Ctry Exp Ind Cde Ind Cde Ind Cde Sts Date                  Type  Expiry Date     Number       Type  Issue Date Expiry Date  FI  Ticker
  001123 SNAM001123                              98000                                             CP
  001131 SNAM001131                              98000                                             CP
  001149 SNAM001149                              98000                                             CP
  001156 SNAM001156                              98000                                             CP
  001164 SNAM001164                              98000                                             CP
  001172 SNAM001172                              98000                                             CP
  001180 SNAM001180                              98000                                             CP
  001198 SNAM001198                              98000                                             CP
  001206 SNAM001206                              98000                                             CP
  001214 SNAM001214                              98000                                             CP
  001222 SNAM001222                              98000                                             CP
  001230 SNAM001230                              98000                                             CP
  001248 SNAM001248                              98000                                             CP
  001255 SNAM001255                              98000                                             CP
  001263 SNAM001263                              98000                                             CP
  001271 SNAM001271                              98000                                             CP
  001289 SNAM001289                              98000                                             RC
  001297 SNAM001297                              98000                                             CP
  001305 SNAM001305                              98000                                             CP
  001313 SNAM001313                              98000                                             CP
  001321 SNAM001321                              98000                                             CP
  001339 SNAM001339                              98000                                             CP
  001347 SNAM001347                              98000                                             CP
  001354 SNAM001354                              98000                                             CP
  001362 SNAM001362                              98000                                             CP
  001370 SNAM001370                              98000                                             CP
  001388 SNAM001388                              98000                                             CP
  001396 SNAM001396                              98000                                             CP
  001404 SNAM001404                              98000                                             CP
  001412 SNAM001412                              98000                                             CP
  001420 SNAM001420                              98000                                             CP
  001438 SNAM001438                              98000                                             CP
  001446 SNAM001446                              98000                                             CP
  001453 SNAM001453                              98000                                             CP
  001461 SNAM001461                              98000                                             CP
  001479 SNAM001479                              98000                                             CP
  001487 SNAM001487                              98000                                             CP
  001495 SNAM001495                              98000                                             CP
  001503 SNAM001503                              98000                                             CP
  001511 SNAM001511                              98000                                             CP
  001529 SNAM001529                              98000                                             CP
  001537 SNAM001537                              98000                                             CP
  001545 SNAM001545                              98000                                             CP
  001552 SNAM001552                              98000                                             CP
  001560 SNAM001560                              98000                                             CP
  001578 SNAM001578                              98000                                             CP
  001586 SNAM001586                              98000                                             CP
  001594 SNAM001594                              98000                                             CP
  001602 SNAM001602                              98000                                             CP
  001610 SNAM001610                              98000                                             CP
  001628 SNAM001628                              98000                                             CP
  001636 SNAM001636                              98000                                             CP
  001644 SNAM001644                              98000                                             CP
  001651 SNAM001651                              98000                                             CP
  001669 SNAM001669                              98000                                             CP
  001677 SNAM001677                              98000                                             CP
1 REFERENCE: SDPGM002                                                                        OCCUSXPD FILE                          RUN DATE:11/08/22  TIME:12:40:14  MIDAS DATE: 3JAN20  PAGE:     4
0 Cust   Short      Cust Cust   Pri       Sec     Pri     Sec     Ter   MAS MAS                  Pri ID   Pri ID        Sec ID      Sec ID   Sec ID     Sec ID     Reg Bloomberg Equity
  Number Name       Type Segm Ctry Exp Ctry Exp Ind Cde Ind Cde Ind Cde Sts Date                  Type  Expiry Date     Number       Type  Issue Date Expiry Date  FI  Ticker
  001685 SNAM001685                              98000                                             CP
  001693 SNAM001693                              98000                                             CP
  001701 SNAM001701                              98000                                             CP
  001713 SNAM001713                              98000                                             CP
  001725 SNAM001725                              98000                                             CP
  001738 SNAM001738                              98000                                             CP
  001740 SNAM001740                              98000                                             CP
  001752 SNAM001752                              98000                                             CP
  001764 SNAM001764                              98000                                             CP
  001776 SNAM001776                              98000                                             CP
  001788 SNAM001788                              98000                                             CP
  001790 SNAM001790                              98000                                             CP
  001807 SNAM001807                              98000                                             CP
  001815 SNAM001815                              98000                                             CP
  001823 SNAM001823                              98000                                             CP
  001831 SNAM001831                              98000                                             CP
  001840 SNAM001840                              98000                                             CP
  001858 SNAM001858                              98000                                             CP
  001866 SNAM001866                              98000                                             CP
  001874 SNAM001874                              98000                                             CP
  001882 SNAM001882                              98000                                             CP
  001891 SNAM001891                              98000                                             CP
  001902 SNAM001902                              98000                                             CP
  001914 SNAM001914                              98000                                             CP
  001926 SNAM001926                              98000                                             CP
  001938 SNAM001938                              98000                                             CP
  001940 SNAM001940                              98000                                             CP
  001952 SNAM001952                              98000                                             CP
  001964 SNAM001964                              98000                                             CP
  001976 SNAM001976                              98000                                             CP
  001988 SNAM001988  I                           98000                                             CP
  001990 SNAM001990                              98000                                             CP
  002002 SNAM002002                              98000                                             CP
  002014 SNAM002014                              98000                                             CP
  002026 SNAM002026                              98000                                             CP
  002038 SNAM002038                              98000                                             CP
  002040 SNAM002040                              98000                                             CP
  002052 SNAM002052                              98000                                             CP
  002064 SNAM002064                              98000                                             CP
  002076 SNAM002076                              98000                                             CP
  002088 SNAM002088                              98000                                             CP
  002090 SNAM002090                              98000                                             CP
  002102 SNAM002102                              98000                                             CP
  002114 SNAM002114                              98000                                             CP
  002126 SNAM002126                              98000                                             CP
  002138 SNAM002138                              98000                                             CP
  002140 SNAM002140                              98000                                             CP
  002152 SNAM002152                              98000                                             CP
  002164 SNAM002164                              98000                                             CP
  002176 SNAM002176                              98000                                             CP
  002188 SNAM002188                              98000                                             CP
  002190 SNAM002190                              98000                                             CP
  002202 SNAM002202                              98000                                             CP
  002214 SNAM002214                              98000                                             CP
  002226 SNAM002226                              98000                                             CP
  002238 SNAM002238                              98000                                             CP
1 REFERENCE: SDPGM002                                                                        OCCUSXPD FILE                          RUN DATE:11/08/22  TIME:12:40:14  MIDAS DATE: 3JAN20  PAGE:     5
0 Cust   Short      Cust Cust   Pri       Sec     Pri     Sec     Ter   MAS MAS                  Pri ID   Pri ID        Sec ID      Sec ID   Sec ID     Sec ID     Reg Bloomberg Equity
  Number Name       Type Segm Ctry Exp Ctry Exp Ind Cde Ind Cde Ind Cde Sts Date                  Type  Expiry Date     Number       Type  Issue Date Expiry Date  FI  Ticker
  002240 SNAM002240                              98000                                             CP
  002252 SNAM002252                              98000                                             CP
  002264 SNAM002264                              98000                                             CP
  002276 SNAM002276                              98000                                             CP
  002288 SNAM002288                              98000                                             CP
  002290 SNAM002290                              98000                                             CP
  002302 SNAM002302                              98000                                             CP
  002314 SNAM002314                              98000                                             CP
  002326 SNAM002326                              98000                                             CP
  002338 SNAM002338                              98000                                             CP
  002340 SNAM002340                              98000                                             CP
  002352 SNAM002352                              98000                                             CP
  002364 SNAM002364                              98000                                             CP
  002376 SNAM002376                              98000                                             CP
  002388 SNAM002388                              98000                                             CP
  002390 SNAM002390                              98000                                             CP
  002402 SNAM002402                              98000                                             CP
  002414 SNAM002414                              98000                                             CP
  002426 SNAM002426                              98000                                             CP
  002438 SNAM002438                              98000                                             CP
  002440 SNAM002440                              98000                                             CP
  002452 SNAM002452                              98000                                             CP
  002464 SNAM002464                              98000                                             CP
  002476 SNAM002476                              98000                                             CP
  002488 SNAM002488                              98000                                             CP
  002490 SNAM002490                              98000                                             CP
  002502 SNAM002502                              98000                                             CP
  002514 SNAM002514                              98000                                             CP
  002526 SNAM002526                              98000                                             CP
  002538 SNAM002538                              98000                                             CP
  002540 SNAM002540                              98000                                             CP
  002552 SNAM002552                              98000                                             CP
  002564 SNAM002564                              98000                                             CP
  002576 SNAM002576                              98000                                             CP
  002588 SNAM002588                              98000                                             CP
  002590 SNAM002590                              98000                                             CP
  002602 SNAM002602                              98000                                             CP
  002614 SNAM002614                              98000                                             CP
  002626 SNAM002626                              98000                                             CP
  002638 SNAM002638                              98000                                             CP
  002640 SNAM002640                              98000                                             CP
  002652 SNAM002652                              98000                                             CP
  002664 SNAM002664                              98000                                             CP
  002676 SNAM002676                              98000                                             CP
  002688 SNAM002688                              98000                                             CP
  002690 SNAM002690                              98000                                             CP
  002702 SNAM002702                              98000                                             CP
  002714 SNAM002714                              98000                                             CP
  002726 SNAM002726                              98000                                             CP
  002738 SNAM002738                              98000                                             CP
  002740 SNAM002740                              98000                                             CP
  002752 SNAM002752                              98000                                             CP
  002764 SNAM002764                              98000                                             CP
  002776 SNAM002776                              98000                                             CP
  002788 SNAM002788                              98000                                             CP
  002790 SNAM002790                              98000                                             CP
1 REFERENCE: SDPGM002                                                                        OCCUSXPD FILE                          RUN DATE:11/08/22  TIME:12:40:14  MIDAS DATE: 3JAN20  PAGE:     6
0 Cust   Short      Cust Cust   Pri       Sec     Pri     Sec     Ter   MAS MAS                  Pri ID   Pri ID        Sec ID      Sec ID   Sec ID     Sec ID     Reg Bloomberg Equity
  Number Name       Type Segm Ctry Exp Ctry Exp Ind Cde Ind Cde Ind Cde Sts Date                  Type  Expiry Date     Number       Type  Issue Date Expiry Date  FI  Ticker
  002802 SNAM002802                              98000                                             CP
  002814 SNAM002814                              98000                                             CP
  002826 SNAM002826                              98000                                             CP
  002838 SNAM002838                              98000                                             CP
  002840 SNAM002840                              98000                                             CP
  002852 SNAM002852                              98000                                             CP
  002864 SNAM002864                              98000                                             CP
  002876 SNAM002876                              98000                                             CP
  002888 SNAM002888                              98000                                             CP
  002890 SNAM002890                              98000                                             CP
  002902 SNAM002902                              98000                                             CP
  002914 SNAM002914                              98000                                             CP
  002926 SNAM002926                              98000                                             CP
  002938 SNAM002938                              98000                                             CP
  002940 SNAM002940                              98000                                             CP
  002952 SNAM002952                              98000                                             CP
  002964 SNAM002964                              98000                                             CP
  002976 SNAM002976                              98000                                             CP
  002988 SNAM002988                              98000                                             CP
  002990 SNAM002990                              98000                                             CP
  003002 SNAM003002                              98000                                             CP
  003014 SNAM003014                              98000                                             CP
  003026 SNAM003026                              98000                                             CP
  003038 SNAM003038                              98000                                             CP
  003040 SNAM003040                              98000                                             CP
  003052 SNAM003052                              98000                                             CP
  003064 SNAM003064                              98000                                             CP
  003076 SNAM003076                              98000                                             CP
  003088 SNAM003088                              98000                                             CP
  003090 SNAM003090                              98000                                             CP
  003102 SNAM003102                              98000                                             CP
  003114 SNAM003114                              98000                                             CP
  003126 SNAM003126                              98000                                             CP
  003138 SNAM003138                              98000                                             CP                                                                  I2I SP EQUITY
  003140 SNAM003140                              98000                                             CP
  003152 SNAM003152                              98000                                             CP
  003164 SNAM003164                              98000                                             CP
  003176 SNAM003176                              98000                                             CP
  003188 SNAM003188                              98000                                             CP
  003190 SNAM003190                              98000                                             CP
  003202 SNAM003202                              98000                                             CP
  003214 SNAM003214                              98000                                             CP
  003226 SNAM003226                              98000                                             CP
  003238 SNAM003238                              98000                                             CP
  003240 SNAM003240                              98000                                             CP
  003252 SNAM003252                              98000                                             CP
  003264 SNAM003264                              98000                                             CP
  003276 SNAM003276                              98000                                             CP
  003288 SNAM003288                              98000                                             CP
  003290 SNAM003290                              98000                                             CP
  003302 SNAM003302                              98000                                             CP
  003314 SNAM003314                              98000                                             CP
  003326 SNAM003326                              98000                                             CP
  003338 SNAM003338                              98000                                             CP
  003340 SNAM003340                              98000                                             CP
  003352 SNAM003352                              98000                                             CP
1 REFERENCE: SDPGM002                                                                        OCCUSXPD FILE                          RUN DATE:11/08/22  TIME:12:40:14  MIDAS DATE: 3JAN20  PAGE:     7
0 Cust   Short      Cust Cust   Pri       Sec     Pri     Sec     Ter   MAS MAS                  Pri ID   Pri ID        Sec ID      Sec ID   Sec ID     Sec ID     Reg Bloomberg Equity
  Number Name       Type Segm Ctry Exp Ctry Exp Ind Cde Ind Cde Ind Cde Sts Date                  Type  Expiry Date     Number       Type  Issue Date Expiry Date  FI  Ticker
  003364 SNAM003364                              98000                                             CP
  003376 SNAM003376                              98000                                             CP
  003388 SNAM003388                              98000                                             CP
  003390 SNAM003390                              98000                                             CP
  003402 SNAM003402                              98000                                             CP
  003414 SNAM003414                              98000                                             CP
  003426 SNAM003426                              98000                                             CP
  003438 SNAM003438  I    L                      98000                                             CP
  003440 SNAM003440  I    L                      98000                                             CP
  003452 SNAM003452  I    L                      98000                                             CP
  003464 SNAM003464  I    L                      98000                                             CP
  003476 SNAM003476  I    L                      98000                                             CP
  003488 SNAM003488  I    L                      00000                                             CP
  003490 SNAM003490                              00000                                             CF
  003502 SNAM003502  I    L                      00000                                             CP
  003514 SNAM003514                              00000                                             CF
  003526 SNAM003526                              00000                                             CF
  003538 SNAM003538                              00000                                             CF
  003540 SNAM003540  I    L                      00000                                             CP
  003552 SNAM003552  I    L                      00000                                             CP
  003564 SNAM003564  I    L                                                                        CP
  003576 SNAM003576  I    L                                                                        CP
  003588 SNAM003588  I    L                                                                        CP
  003626 SNAM003626                              00000                                             CF
  003638 SNAM003638                              00000                                             CF
  003640 SNAM003640                              00000                                             CF
  003652 SNAM003652                              00000                                             CF
  003676 SNAM003676                              00000                                             CF
  003690 SNAM003690                              00000                                             CF
  003702 SNAM003702                              98000                                             CP
  003714 SNAM003714                              98000                                             CP
  003726 SNAM003726                              98000                                             CP
  003738 SNAM003738                              98000                                             CP
  003740 SNAM003740                              98000                                             CP
  003752 SNAM003752                              98000                                             CP
  003764 SNAM003764                              98000                                             CP
  003776 SNAM003776                              98000                                             CP
  003788 SNAM003788                              98000                                             CP
  003790 SNAM003790                              98000                                             CP
  003802 SNAM003802                              98000                                             CP
  003814 SNAM003814                              98000                                             CP
  003826 SNAM003826                              98000                                             CP
  003838 SNAM003838                              98000                                             CP
  003840 SNAM003840                              98000                                             CP
  003852 SNAM003852                              98000                                             CP
  003864 SNAM003864                              98000                                             CP
  003876 SNAM003876                              98000                                             CP
  003888 SNAM003888                              98000                                             CP
  003890 SNAM003890                              98000                                             CP
  003902 SNAM003902                              98000                                             CP
  003914 SNAM003914                              98000                                             CP
  003926 SNAM003926                              98000                                             CP
  003938 SNAM003938                              98000                                             CP
  003940 SNAM003940                              98000                                             CP
  003952 SNAM003952                              98000                                             CP
  003964 SNAM003964                              98000                                             CP
1 REFERENCE: SDPGM002                                                                        OCCUSXPD FILE                          RUN DATE:11/08/22  TIME:12:40:14  MIDAS DATE: 3JAN20  PAGE:     8
0 Cust   Short      Cust Cust   Pri       Sec     Pri     Sec     Ter   MAS MAS                  Pri ID   Pri ID        Sec ID      Sec ID   Sec ID     Sec ID     Reg Bloomberg Equity
  Number Name       Type Segm Ctry Exp Ctry Exp Ind Cde Ind Cde Ind Cde Sts Date                  Type  Expiry Date     Number       Type  Issue Date Expiry Date  FI  Ticker
  003976 SNAM003976                              98000                                             CP
  003988 SNAM003988                              98000                                             CP
  003990 SNAM003990                              98000                                             CP
  004002 SNAM004002                              98000                                             CP
  004014 SNAM004014                              98000                                             CP
